date,M.BCPI,M.BCNE,M.ENER,M.MTLS,M.FOPR,M.AGRI,M.FISH,quarter
1997-09-30,275.02333333333337,247.39000000000001,429.79333333333335,284.44666666666666,325.72333333333336,169.53666666666666,740.64,1997Q3
1997-12-31,276.30333333333334,237.85666666666665,474.1366666666667,266.77666666666664,314.77333333333337,161.44333333333336,985.4066666666666,1997Q4
1998-03-31,249.57666666666668,224.96333333333334,385.6233333333333,252.57000000000002,296.8933333333334,153.07666666666668,949.6466666666666,1998Q1
1998-06-30,245.32666666666668,223.71333333333334,368.67,245.66666666666666,294.41333333333336,156.94,911.0066666666667,1998Q2
1998-09-30,233.61333333333334,213.09,350.77666666666664,235.82000000000002,293.51666666666665,137.62333333333333,857.8333333333334,1998Q3
1998-12-31,227.97333333333336,205.9766666666667,350.26,230.99333333333334,285.46,129.81666666666666,837.5799999999999,1998Q4
1999-03-31,230.46333333333334,212.76999999999998,338.86999999999995,227.55999999999997,299.08,136.85,883.1566666666668,1999Q1
1999-06-30,252.74666666666667,220.1833333333333,413.9266666666667,235.36666666666667,309.7733333333333,142.46333333333334,852.31,1999Q2
1999-09-30,271.80333333333334,224.07000000000002,494.7133333333333,250.01333333333332,318.56,136.9333333333333,870.2233333333334,1999Q3
1999-12-31,281.8,224.76666666666665,544.3166666666667,265.9766666666667,306.4066666666667,140.07000000000002,873.7766666666666,1999Q4
2000-03-31,304.22333333333336,235.01999999999998,604.2966666666666,278.16,318.1433333333334,148.72333333333333,894.4533333333334,2000Q1
2000-06-30,320.5933333333333,228.50333333333333,703.4466666666667,265.98,300.41333333333336,154.57333333333335,917.8066666666667,2000Q2
2000-09-30,333.6933333333333,217.17666666666665,813.79,268.81333333333333,274.9866666666667,148.36333333333334,868.6999999999999,2000Q3
2000-12-31,352.84999999999997,210.17999999999998,955.71,259.11333333333334,264.76666666666665,145.8166666666667,824.89,2000Q4
2001-03-31,332.2133333333333,207.9766666666667,857.4766666666668,256.95666666666665,259.43666666666667,145.53,936.3766666666667,2001Q1
2001-06-30,317.75333333333333,230.52999999999997,693.8966666666666,250.24333333333334,304.26,168.21666666666667,919.7266666666666,2001Q2
2001-09-30,273.63,221.12666666666667,529.0366666666667,234.84333333333333,284.58666666666664,171.26999999999998,870.4833333333332,2001Q3
2001-12-31,237.64666666666665,200.41333333333333,438.30333333333334,228.76,245.31000000000003,157.4333333333333,780.9933333333333,2001Q4
2002-03-31,252.92333333333332,211.26666666666665,471.3,241.15333333333334,261.6566666666667,160.10999999999999,959.2633333333333,2002Q1
2002-06-30,279.68666666666667,209.31000000000003,591.4766666666667,246.5666666666667,257.78,157.01,855.2033333333333,2002Q2
2002-09-30,276.86333333333334,202.65,602.0466666666666,241.64666666666668,238.73333333333335,162.82666666666668,787.3466666666667,2002Q3
2002-12-31,289.27666666666664,197.92333333333332,680.2133333333333,246.74666666666667,224.04666666666665,161.24666666666667,832.0933333333334,2002Q4
2003-03-31,339.84666666666664,206.79999999999998,895.9366666666666,259.91333333333336,238.6833333333333,160.91333333333333,931.6266666666667,2003Q1
2003-06-30,326.56333333333333,218.76333333333332,787.46,257.8933333333334,265.34,167.77333333333334,1004.5300000000001,2003Q2
2003-09-30,325.42333333333335,230.34,749.15,270.58666666666664,298.1466666666667,163.76,881.66,2003Q3
2003-12-31,334.49666666666667,234.92333333333332,775.6866666666666,294.0933333333333,295.07666666666665,166.71,778.9566666666666,2003Q4
2004-03-31,372.26666666666665,258.97,870.0166666666668,322.06,334.05333333333334,178.14333333333335,891.32,2004Q1
2004-06-30,402.1233333333334,277.2,946.75,313.53333333333336,378.40000000000003,196.74666666666667,862.6566666666668,2004Q2
2004-09-30,408.57,279.27666666666664,968.73,326.63,380.34666666666664,189.89000000000001,935.2866666666665,2004Q3
2004-12-31,427.09666666666664,267.7233333333333,1089.2733333333333,351.58,328.57,186.09666666666666,973.02,2004Q4
2005-03-31,448.69,282.2133333333333,1128.1933333333334,366.98333333333335,365.25333333333333,182.7266666666667,1053.3333333333333,2005Q1
2005-06-30,467.0466666666666,278.90333333333336,1214.8533333333332,365.66,348.71333333333337,188.62333333333333,1039.82,2005Q2
2005-09-30,537.2366666666667,271.7866666666667,1560.9033333333334,368.0566666666667,328.21000000000004,185.87666666666667,1003.0733333333333,2005Q3
2005-12-31,569.15,279.5233333333333,1683.4033333333334,393.48333333333335,330.5833333333333,185.84333333333333,1114.2566666666667,2005Q4
2006-03-31,529.5066666666667,299.9266666666667,1423.1266666666668,452.19666666666666,344.9766666666667,185.9766666666667,1184.8733333333332,2006Q1
2006-06-30,546.1066666666667,323.59,1422.5866666666668,542.2733333333334,337.56666666666666,195.95666666666668,1027.0766666666666,2006Q2
2006-09-30,539.3133333333334,327.90333333333336,1382.7833333333335,583.0933333333334,320.48,198.72333333333333,907.54,2006Q3
2006-12-31,520.9666666666667,327.87000000000006,1302.45,614.86,299.8,198.74333333333334,935.27,2006Q4
2007-03-31,529.1066666666667,340.12666666666667,1305.2933333333333,643.8166666666667,307.75666666666666,203.57333333333335,1004.5933333333334,2007Q1
2007-06-30,570.0,358.3533333333333,1428.7166666666665,692.4233333333333,308.13,219.79999999999998,1056.9866666666667,2007Q2
2007-09-30,561.5566666666667,340.73333333333335,1445.243333333333,595.4633333333334,311.96,230.34,985.4466666666667,2007Q3
2007-12-31,614.41,338.72,1697.1466666666665,589.1733333333333,295.75666666666666,244.03333333333333,943.23,2007Q4
2008-03-31,687.8833333333333,368.3733333333334,1946.8933333333334,630.6166666666667,285.3333333333333,298.08,1160.3966666666668,2008Q1
2008-06-30,825.8666666666667,394.69666666666666,2499.9233333333336,721.3966666666666,308.3933333333334,293.2966666666667,1005.2533333333334,2008Q2
2008-09-30,765.5533333333333,378.72333333333336,2272.213333333333,676.0133333333333,332.49333333333334,267.7133333333333,889.5966666666667,2008Q3
2008-12-31,469.07666666666665,290.3633333333333,1224.1933333333334,497.75666666666666,277.08666666666664,202.5,753.0033333333334,2008Q4
