REF_DATE,Final consumption expenditure,Gross fixed capital formation,General governments final consumption expenditure,Exports of goods and services,Less: imports of goods and services
2015-04-01,0.004208291480653159,-0.027943482173157008,0.001048484260648408,0.013402161136035318,0.0024208844862041445
2015-07-01,0.00705927972373388,-0.012824674213403497,0.0057844730660026045,0.019901230053589458,-0.011964395441554032
2015-10-01,0.004855682618323698,-0.00803589455222209,-0.0027767756034453583,-0.008067079895997864,0.0003965440724353897
2016-01-01,0.003128012485793974,-0.019928426575260616,0.008163253503226997,0.022457324499152165,0.0025496333648202807
2016-04-01,0.006293813076993615,-0.007278103364075861,0.010594729676913772,-0.04183024766479981,0.002844400768911015
2016-07-01,0.004936849683231159,0.0028925951321738808,-0.00019773706093850762,0.028479397715420518,0.011177956913995146
2016-10-01,0.00573621693909665,-0.01656631730439173,0.002113301256486011,0.010024966399535984,-0.018721943692343146
2017-01-01,0.01033049791306162,0.028309297832597835,0.00987312796774198,0.006964963590494477,0.03258161198383824
2017-04-01,0.009741071725681394,0.007704936141731622,0.0014167845906047916,0.013536379232659712,0.018192687570204313
2017-07-01,0.008994678762109132,0.007445939774530785,0.0074459026672411,-0.03606713365495118,0.004078916517915587
2017-10-01,0.006475189426474515,0.03103692846406858,0.008494581659666878,0.017861609937552814,0.02426157059241696
2018-01-01,0.007424794105142851,0.004392085355545916,0.009500799854496478,0.016627132150363266,0.012504361170107003
2018-04-01,0.006958896809370785,0.0013609992311192087,0.010086035045741681,0.030377779687215778,0.01701790569272532
2018-07-01,0.004954642676759491,-0.015166710628864877,0.0034450079319778837,-0.0045948911394972924,-0.02518208259044208
2018-10-01,0.0019245675736598855,-0.013237689928610408,0.006902293146678673,-0.002910620100800898,-0.01213777572554342
2019-01-01,0.0027988686273872077,0.018057044304908842,-0.004437313230097217,-0.000527644508544256,0.026283904619964105
2019-04-01,0.0016135733668480867,-0.002343336997062906,-0.0007011706788571104,0.03938436003118895,-0.0049818034955873
2019-07-01,0.005649555324183098,0.021157198763029683,0.008107399060767406,-0.008639660870867871,-0.0060105727579280455
2019-10-01,0.007617201369605198,-0.00776484246374487,0.008924895086925844,-0.021011770465531043,-0.01252400018242028
2020-01-01,-0.015662581868113534,-0.016106620345707867,-0.0011978294793237865,-0.01760333869436259,0.0011524665349309515
2020-04-01,-0.1191784954079278,-0.1396419033789993,-0.03667437570733867,-0.17847898591197975,-0.2605688202548073
2020-07-01,0.0996428194287109,0.13945005336876726,0.05415161965528448,0.12517976756412708,0.1943398324282466
2020-10-01,0.007673917842822675,0.026137305643342046,0.01336939013905436,0.011811398976217191,0.027975755936346047
2021-01-01,0.007017678139245476,0.033713959764932966,0.014378194083251472,0.02659374316197116,0.027064483757177626
2021-04-01,0.002888354056780784,0.015257672179499693,0.01133770807398804,-0.03438988912150798,-0.003307227046867922
2021-07-01,0.0382034198546215,-0.03403387035922023,0.004679645448666392,-0.0015929422853933062,-0.01014809153286933
2021-10-01,0.009470862580561956,0.015535081016466279,0.007354097168528639,0.031133615217720845,0.04983641960344798
2022-01-01,0.006726412388397662,0.02046032296212985,0.010974287374700964,-0.005792296300276334,0.001973837368780096
2022-04-01,0.014570731241967394,-0.026885881792006572,0.0011833969619328144,0.03754958696326938,0.06051220294047077
2022-07-01,0.0037400885745455525,-0.017086717021291165,0.012189459678150882,0.008272751370673959,0.0016243296989397749
2022-10-01,0.002963818489758907,-0.011515996961339425,0.009483536265022963,0.0014497492299554438,-0.0284203205664344
2023-01-01,0.007050136439286092,0.003756280495043285,0.0005707657799973731,0.030367372406056248,-0.006460749455854398
2023-04-01,0.0023262052320163207,0.014033554812069582,0.002686924838330995,0.0032720061160400604,0.016808406148875576
2023-07-01,0.005326571485856135,-0.006537651661277621,0.013662349083261915,-0.008940985878441055,0.0033237511705923595
2023-10-01,0.0009431206660774905,-0.013373289235932617,-0.005076429022238926,0.02221510640337243,0.005064844602323149
2024-01-01,0.0096542128717374,0.0014982996017067762,0.014340375706231256,-0.0018025232115537193,-0.002707375758630448
2024-04-01,0.006753411675688881,0.008166430056016694,0.013548198673735357,-0.012332619991271443,2.0146896055450725e-05
2024-07-01,0.011374094179817718,-0.004537865870844371,0.013326719192376046,-0.0015383126135422032,-0.0024924794149949747
2024-10-01,0.010139298724467949,0.02149723259690184,0.005843138055743324,0.017216085895846334,0.006151217041704626
2025-01-01,0.0007094718315343584,-0.01269394952976377,-0.0010716422069556586,0.014139414939370099,0.008812049325886306
2025-04-01,0.011245217672300356,-0.0008852558586323056,0.012530216190409504,-0.07798464007614037,-0.013202631479012794
